Designator,Mid X,Mid Y,Rotation,Layer
C1,128.488242,-94.7,270.0,top
C2,136.888242,-95.6,180.0,top
R1,135.2,-114.3,270.0,top
R2,136.288242,-101.9,270.0,top
SDCORE,149.55,-107.65,90.0,top
SW1,130.6,-118.0,270.0,top
U1,131.388242,-97.8,0.0,top
USB1,131.537525,-107.4,90.0,top
