Designator,Footprint,Quantity,Value,LCSC Part #
CARD1,SD-111,1,SD-111,C410353
"R1, R2",0603WAF5101T5E,2,5.1k,C23186
U1,BL1117-33CX,1,BL1117-33CX,C5400
USB2,USB-310,1,USB-310,C309347
