"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"USB1";"TYPE-C-31-M-13";1;"TYPE-C-31-M-13";;;
2;"U1";"BL1117-33CX";1;"BL1117-33CX";;;
3;"R2,R1";"0603WAF5101T5E";2;"5.1k";;;
4;"Card1";"DS1139-01-09SS4BSR";1;"DS1139-01-09SS4BSR";;;
